study_id,crop,focus,findings,year,source
AR-Cotton-Impact,Cotton (Bt),Pesticide/yield effects,Farm survey evidence shows Bt cotton reduces toxic pesticide use and raises yields.,2003,https://gspp.berkeley.edu/assets/uploads/research/pdf/Argentina_EDE.pdf
AR-Maize-2003,Maize (Bt/HT),Regulatory history,First wave of Bt/HT maize approvals in early 2000s; later stacks.,2003,https://apps.fas.usda.gov/gainfiles/2010/2010-0039.pdf
AR-Soy-1996,Soybean (RR),Regulatory history,RR soybean approved in 1996; rapid adoption followed.,1996,https://apps.fas.usda.gov/gainfiles/200510/146131302.pdf
AR-Soy-2012,Soybean (Intacta RR2 PRO),Approval context,Intacta RR2 PRO approval noted by industry/news; subsequent adoption in AR.,2012,https://news.agropages.com/News/NewsDetail---7629.htm
AU-Canola-2003,Canola (HT),Regulatory history,First commercial GM canola approvals in 2003 (Roundup Ready & InVigor).,2003,https://www.ogtr.gov.au/sites/default/files/files/2021-06/12_-_genetically_modified_gm_canola_in_australia.pdf
AU-Cotton-1996,Cotton (Bt),Regulatory history,GM cotton first grown in Australia in 1996; adoption now >99%.,1996,https://ogtr.gov.au/resources/publications/genetically-modified-gm-cotton-australia
AU-Safflower-2018,Safflower (high-oleic),Innovation,First commercial GM safflower released in 2018 for industrial oil.,2018,https://www.ogtr.gov.au/sites/default/files/2021-09/genetically_modified_gm_safflower_in_australia.pdf
BD-Brinjal-2013,Brinjal (Bt),Commercial release,Bangladesh approved four Bt brinjal varieties for release in 2013; planting began 2014.,2013,https://pmc.ncbi.nlm.nih.gov/articles/PMC6771371/
BR-Cotton-2005,Cotton (Bt),Commercial release,Bt cotton (event 531) approved for cultivation in 2005.,2005,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=15
BR-Eucalyptus-2015,Eucalyptus (H421),Innovation,First GM eucalyptus approved globally; resistant to insect pests.,2015,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=312
BR-Maize-2003,Maize (Bt events),Regulatory history,First Bt maize events approved in early 2000s after CTNBio restructuring.,2003,https://apps.fas.usda.gov/gainfiles/2010/2010-0039.pdf
BR-Soy-1998,Soybean (GTS 40-3-2),Regulatory history,Roundup Ready soybean approved 1998; judicial and political debates followed but commercial use expanded rapidly.,1998,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=155
BR-Soy-2010,Soybean (Intacta RR2 PRO),Agronomic performance,Second-generation soybean with HT+IR traits adopted rapidly in Brazil.,2010,https://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=367
